user,location,content,time
KarelBrinda,"Boston, MA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 19:03:51
bioinfochat,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:58:51
niemasd,"San Diego, CA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:50:12
pashadag,Penn State University,@RayanChikhi @amatur_r @recomb2020 Thanks Rayan #RECOMB2020,2020-06-26 18:41:16
BenLangmead,"Baltimore, MD",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:32:19
jameslz,China,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:11:43
IliaMinkin,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:06:46
sjackman,"Vancouver, Canada",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:01:27
pierre_marijon,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:59:46
CamilleMrcht,,@RayanChikhi @pashadag @amatur_r @recomb2020 Well done :O 🎉,2020-06-26 17:57:12
CamilleMrcht,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:50:46
snz20,"Boston, MA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:41:19
AdvaitBalaji,"Houston, TX",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:27:38
vandinfa,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:21:53
yihuizhu12,"Davis, CA",RT @recomb2020: We are really excited to announce that more than 2800 attendees signed-up for the #free #virtual edition of #RECOMB2020! De…,2020-06-26 17:13:17
zevkronenberg,"Seattle, WA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:11:08
gau,"Stockholm, Sweden",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:07:01
pashadag,Penn State University,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:05:52
ZaminIqbal,"Cambridge, England",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:05:38
RayanChikhi,,Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set r… https://t.co/nD1pcQleXv,2020-06-26 17:04:34
paulakf,Campinas,#RECOMB2020,2020-06-26 16:08:29
abhi_ratnakumar,New York,Variants enriched in bottlenecked population (e.g. Finland) compared to non-bottlenecked populations as a proxy for… https://t.co/F0151H3KQz,2020-06-26 14:19:34
tonzani,"New York, NY",RT @saliha_ey: Watching #RECOMB2020 The Future of Algorithms in Biology panel on my phone. I really hope this level of accesibility becomes…,2020-06-26 13:37:49
vanhoan310,Munich,RT @pashadag: Check out our latest work with @IliaMinkin #RECOMB2020 https://t.co/vF1EfZv3aR,2020-06-26 12:22:17
