name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Lorcan Pigott-Dix,male,0.4411264703893052,0.5588735296106946,United Kingdom,Earlham Institute,"GreaterEuropean,British",0.08726796,0.89318424,0.016444178,0.0031036183000000004,0.0019491798,0.001391262,0.0011108199,0.0013178474,0.0005263129,0.49548614,0.00021242657,0.4378353,0.0038466216,0.013798666,0.027970647,0.014056033,0.00049876614,white
Yuri Pirola,female,0.8659979274030714,0.13400207259692906,Italy,"DISCo, Univ. degli Studi di Milano-Bicocca","GreaterEuropean,WestEuropean,Italian",0.015753845,0.8802629000000001,0.094146594,0.00983666,0.00048294003,0.00037758402,0.002903128,0.004111241,0.0012914239,0.04916351,0.014235593,0.06482768,0.0019755075,0.03671515,0.19924577,0.6239835,0.0006869401,white
Alise Jany Ponsero,female,0.7589323620194499,0.24106763798055,United States,University of Arizona,"GreaterEuropean,WestEuropean,Hispanic",0.02133153,0.48638853,0.4399759,0.052304037000000005,0.0013882313,0.0035397585,0.0068128286,0.0015783919,0.0008645014,0.06483878,0.0034135785,0.037466906,0.002772188,0.010193814,0.55863035,0.30834094,0.00015966829,white
Bernie Pope,female,0.7589323620194499,0.24106763798055,Australia,University of Melbourne,"GreaterEuropean,British",0.19025056,0.7773797,0.028157089,0.004212608,0.005469589,0.00093727745,0.0029428757,0.0037591488,0.0028505637,0.72138053,0.005295573,0.14030455,0.010134569,0.014454421,0.048204508,0.042411566,0.0018549584,white
Erinija Pranckeviciene,female,0.9825659675953974,0.017434032404602017,Lithuania,Vilnius University,"GreaterEuropean,British",0.11291709,0.8685822,0.013501447,0.004999239,0.01707338,0.0006586853,0.0004473045,0.0092705805,0.0012518703,0.44769293,0.009189531,0.18655542,0.007785655,0.100662984,0.067389555,0.1336481,0.01837399,white
Gareth Price,female,0.5456744045493539,0.4543255954506458,Australia,QSIF Facility for Advanced Bioinformatics,"GreaterEuropean,British",0.19400784,0.7954220000000001,0.00859229,0.0019778558,0.00135477,0.00097391603,0.0029753426,0.0023470258,0.001965643,0.93629074,0.0024219372,0.015451441,0.0008593816,0.007690165,0.008209948,0.018522494,0.0009370691,white
Abd Rahim,male,0.14564986557001305,0.8543501344299869,Malaysia,Universiti Tenaga Nasional,"GreaterAfrican,Muslim",0.044734325,0.28624,0.0037457375,0.66527987,0.0016413128,0.00027542695,0.1467896,0.052442957,0.7362778,0.0036423164,0.0039031066,0.008344374,0.003942571,0.031873967,0.0053130356,0.0013677418,0.004185705,api
Andrew T Rajcewski,male,0.21459937010638025,0.7854006298936195,United States,University of Minnesota,"GreaterEuropean,Jewish",0.00023214892000000004,0.9833968000000001,0.014476441999999999,0.0018946368,0.0053767553,0.0147982985,0.1221076,0.013689965,0.05396874,0.12062974,0.10852301,0.13490145,0.025692355,0.36269712,0.013825635,0.01546966,0.008319696,white
Jolene Ramsey,female,0.7589323620194499,0.24106763798055,United States,Texas A&M University,"GreaterEuropean,British",0.15785517,0.81758153,0.021818781000000002,0.0027445094,0.0036025294,0.00028689633,0.11405995,0.002924999,0.00686172,0.8362125,0.00024216739,0.02242674,0.0008762641,0.00640195,0.0038629454,0.0013297212,0.000911669,white
Helena Rasche,female,0.9825659675953974,0.017434032404602017,Germany,Galaxy Europe,"GreaterEuropean,WestEuropean,French",0.05904641,0.6971090999999999,0.21840282,0.025441676,0.008325131,0.0004363431,0.017554259,0.053280883,0.0037614573,0.2791369,0.0050373645,0.29664457,0.018029517,0.06755868,0.13370696,0.09925396,0.01727397,white
Maarten Reijnders,male,0.4411264703893052,0.5588735296106946,Switzerland,University of Lausanne,"GreaterEuropean,British",0.025223425,0.9532303,0.018981552,0.0025647038,0.002419294,0.002021876,0.0025768178,0.0024723427,0.0058059767,0.4333444,0.016904792,0.025950314,0.29976696,0.16467479,0.022170458,0.013531452,0.008360552,white
Nicholas Rhodes,male,0.2957672109366553,0.7042327890633447,Australia,Queensland Facility for Advanced Bioinformatics,"GreaterEuropean,British",0.24075553,0.7386807,0.017020453,0.0035433162,0.002605431,0.000963234,0.003294257,0.009259564,0.00058053754,0.9597648,0.0010750039,0.0089426935,0.0012728932,0.0032504452,0.0062941164,0.0013347289,0.0013622994,white
Peter Rice,male,0.20424982548744489,0.7957501745125553,United Kingdom,Oryza Bioinformatics Ltd.,"GreaterEuropean,British",0.1598731,0.8207789000000001,0.016582858,0.0027652364,0.0024628397,0.0074565345,0.009725868,0.0069799027,0.018202575,0.70448214,0.007923471,0.02610961,0.006465801,0.07909507,0.056420118,0.050233744,0.024442272,white
