name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Bert Droesbeke,male,0.2831801041226014,0.7168198958773986,Bert Droesbeke,Bert Droesbeke,"GreaterEuropean,WestEuropean,Germanic",0.012800183,0.9757415999999999,0.010208379,0.0012498165,0.0036234,0.006794694,0.0018624577,0.012580831,0.0024277987,0.30130237,0.039436672,0.02197402,0.3157837,0.25584427,0.007898054,0.002270582,0.028201083,white
Keely Dulmage,female,0.5899989874919701,0.4100010125080299,Keely Dulmage,Keely Dulmage,"GreaterEuropean,British",0.09874832,0.8477295,0.04826149,0.005260676,0.008618348,6.9114714e-05,0.005006195,0.002429614,0.011459945,0.47704965,0.0052089565,0.24446565,0.08397731,0.044101305,0.053254753,0.01916938,0.04518975,white
Andrew Duncan,male,0.250346383113044,0.7496536168869563,Andrew Duncan,Andrew Duncan,"GreaterEuropean,British",0.20812085,0.7787425,0.010415052,0.002721554,0.006333122,0.002355154,0.008994227,0.0021820627,0.0034840293,0.8909913,0.00036122295,0.052836247,0.0008896581,0.0070940764,0.0064648194,0.017003858,0.0010102018,white
Nathan Dunn,male,0.4429060588236418,0.5570939411763579,Nathan Dunn,Nathan Dunn,"GreaterEuropean,British",0.10041424,0.8795838,0.009798681,0.010203263,0.0013651233,0.0006660494,0.058935616,0.0007008607,0.0012929406,0.853778,0.0033351243,0.002077288,0.008670779,0.031493515,0.0043661366,0.00139942,0.03191894,white
Phil East,male,0.4832691227435037,0.5167308772564961,Phil East,Phil East,"GreaterEuropean,British",0.09483179,0.88395685,0.017480368,0.0037310019,0.0047964184,0.017106019,0.0017107459,0.003810018,0.0063333893,0.7710473,0.0086378725,0.04100223,0.0034148707,0.047468334,0.08469251,0.004999198,0.0049810237,white
Scott Edmunds,male,0.2831801041226014,0.7168198958773986,Scott Edmunds,Scott Edmunds,"GreaterEuropean,British",0.11905065,0.8526984000000001,0.021160156,0.007090804599999999,0.002202969,0.0044499924,0.0018107379,0.0027205723,0.0050568483,0.8575635,0.0016670143,0.043939646,0.0031861267,0.029780174,0.016926736,0.020390745,0.010304943,white
Ignacio Eguinoa,male,0.1642317908993479,0.8357682091006523,Ignacio Eguinoa,Ignacio Eguinoa,"GreaterEuropean,WestEuropean,Hispanic",0.0042846967,0.07104234400000001,0.8519601000000001,0.072712846,0.0025882877,0.0044391756,2.570929e-05,0.047362328,0.0028666733,0.018745927,0.05738379,0.0358665,5.195411e-05,0.02535726,0.7986734,0.006598557,4.0423565e-05,hispanic
Abdelazeem Elhabyan,male,0.1564935928145776,0.8435064071854221,Abdelazeem Elhabyan,Abdelazeem Elhabyan,"GreaterAfrican,Muslim",0.013841761000000001,0.9670501,0.013776507,0.0053316313,0.00025027271,0.00014144818,0.007848137,0.0042222245,0.7398394,0.012294045,0.011378474,0.0042227,0.0069712005,0.16106424,0.00996993,0.0019070372,0.039890893,white
Ray Enke,female,0.5899989874919701,0.4100010125080299,Ray Enke,Ray Enke,"GreaterEuropean,WestEuropean,Germanic",0.008005136999999999,0.981698,0.008033886,0.002262985,0.007278509,0.086385384,0.013517899,0.03736206,0.03468965,0.10597392,0.045492094,0.026384104,0.2881172,0.034283273,0.029158114,0.008166782,0.28319108,white
Baluku Erikan,male,0.3425209800926867,0.6574790199073134,Baluku Erikan,Baluku Erikan,"GreaterAfrican,Muslim",0.0015660266,0.9755451999999999,0.018238083999999998,0.004650727,0.0024618588,0.002412846,0.07492225,0.031009788,0.6204552,0.05650901,0.018583445,0.05424958,0.007326606,0.08868635,0.008502133,0.006105284,0.028775549,white
Necati Esener,female,0.8601043364664513,0.13989566353354882,Necati Esener,Necati Esener,"GreaterEuropean,WestEuropean,Germanic",0.08688522,0.8818999,0.026930004,0.004284907,0.0023462663,0.005434439,0.00802622,0.016337441,0.029649101,0.12709631,0.015902828,0.03057821,0.34619975,0.3051239,0.07244759,0.030103954,0.010754034,white
Cristiane Esteves,female,0.7550955466545506,0.24490445334544936,Cristiane Esteves,Cristiane Esteves,"GreaterEuropean,WestEuropean,Hispanic",0.036654696,0.32036573,0.5937509,0.049228594,0.001826728,0.005153009,0.0022946598,0.0008450612,0.0054194843,0.05938727,0.0042001037,0.0139825,0.0021678938,0.021717802,0.84193325,0.030087193,0.0109850215,hispanic
Phil Ewels,male,0.4832691227435037,0.5167308772564961,Phil Ewels,Phil Ewels,"GreaterEuropean,British",0.2156776,0.75802404,0.023790162000000004,0.0025081462,0.0037599348,0.0013109782,0.00053461135,0.015309805,0.0016874368,0.883715,0.0028749416,0.033122674,0.012935955,0.02772942,0.01138484,0.0047335424,0.0009008658,white
Matthias Fahrner,male,0.2853764248283112,0.7146235751716887,Matthias Fahrner,Matthias Fahrner,"GreaterEuropean,Jewish",0.0065606959999999995,0.9758792,0.012587578,0.004972481,0.0025577864,0.002337169,0.0025433886,0.0044930917,0.025823561,0.065703675,0.04072021,0.08533778,0.22722758,0.32205582,0.055105284,0.067795336,0.098299354,white
Akinyemi Mandela Fasemore,female,0.8601043364664513,0.13989566353354882,Akinyemi Mandela Fasemore,Akinyemi Mandela Fasemore,"GreaterEuropean,British",0.20297107,0.74825066,0.03974244,0.009035831,0.0032634244,0.015243318,0.017266782,0.22648576,0.06337074,0.22666162,0.0056229574,0.11634487,0.0020746605,0.075201124,0.14498511,0.06756051,0.035919093,white
Karen Feng,male,0.4429060588236418,0.5570939411763579,Karen Feng,Karen Feng,"Asian,GreaterEastAsian,EastAsian",0.0022630165,0.017185455,0.009845459,0.9707061,0.9617439,0.0008175181,0.0008238423,0.0017785417,0.0004838334,0.013263853,0.001117793,0.0026363507,0.0018368703,0.0014379839,0.0019105586,0.0017379955,0.010410923,api
Chris Fields,male,0.2853764248283112,0.7146235751716887,Chris Fields,Chris Fields,"GreaterEuropean,British",0.4003609,0.58647716,0.011536207,0.0016256893,0.0104368115,0.0018424466,0.0012785284,0.0022262617,0.0012467669,0.8678478,0.00710338,0.007594387,0.0051979325,0.08559278,0.003911696,0.0045370283,0.0011842139,white
Legana Fingerhut,female,0.9832163392002976,0.016783660799702234,Legana Fingerhut,Legana Fingerhut,"GreaterEuropean,British",0.010877933999999999,0.97042173,0.014736214,0.0039640465,0.01673677,0.0026271008,0.000457693,0.006481277,0.0043296185,0.38467646,0.07486857,0.05224148,0.07852009,0.31132802,0.05240689,0.009217727,0.00610821,white
Lydia Fleischmann,female,0.9832163392002976,0.016783660799702234,Lydia Fleischmann,Lydia Fleischmann,"GreaterEuropean,Jewish",0.004195189,0.97744864,0.009798528,0.008557598000000001,0.000572988,0.001156629,0.0006132906,0.00059155555,0.0029541217,0.035749316,0.053302824,0.07733037,0.2816724,0.4137267,0.06472886,0.009902059,0.057698913,white
Robert Flight,male,0.2831801041226014,0.7168198958773986,Robert Flight,Robert Flight,"GreaterEuropean,British",0.1891496,0.7760691999999999,0.03294267,0.0018385872,0.002295643,0.0055516856,0.0075088954,0.002349806,0.003975535,0.892816,0.0056439894,0.030913476,0.002779769,0.021126917,0.017941711,0.0033724017,0.0037241504,white
Evan Floden,male,0.4429060588236418,0.5570939411763579,Evan Floden,Evan Floden,"GreaterEuropean,British",0.122236654,0.8443337,0.030692311,0.002737357,0.002482342,0.0028259782,0.0057888394,0.00093676936,0.0017954034,0.7266858,0.016539417,0.033932086,0.012466981,0.10615142,0.024592035,0.009597912,0.0562051,white
Melanie Foll,female,0.7550955466545506,0.24490445334544936,Melanie Foll,Melanie Foll,"GreaterEuropean,British",0.05803573,0.9295450000000001,0.010948696,0.0014706422,0.010055949,0.006673475,0.005882888,0.03507961,0.0039628805,0.7100525,0.030395115,0.020546885,0.028527454,0.07021209,0.036415458,0.011647686,0.030547978,white
Dan Fornika,male,0.4429060588236418,0.5570939411763579,Dan Fornika,Dan Fornika,"GreaterEuropean,EastEuropean",0.009642954,0.95977235,0.013114022,0.017470628000000002,0.008427103,0.016746841,0.050967608,0.021339448,0.010901874,0.19058862,0.432603,0.02199114,0.017910395,0.1553924,0.007948618,0.064692944,0.0004901545,white
Anne Fouilloux,female,0.7550955466545506,0.24490445334544936,Anne Fouilloux,Anne Fouilloux,"GreaterEuropean,WestEuropean,French",0.07978161,0.9102478,0.009502106,0.00046852342000000004,0.0005782483,5.687404e-05,0.00014747446,0.01504891,0.0028970197,0.025114816,0.00010823276,0.9298075,0.00029838286,0.0020197907,0.022100348,0.0015165798,0.0003058611,white
Charlotte Francois,female,0.7550955466545506,0.24490445334544936,Charlotte Francois,Charlotte Francois,"GreaterEuropean,WestEuropean,French",0.6054065,0.38516384,0.0075353077000000004,0.00189432,0.0016137194,0.00017286756,0.0028931694,0.0011501397,0.0008580483,0.18736683,0.000656767,0.7383396,0.006092998,0.02035495,0.008386751,0.028060073,0.004054082,black
Michael Franklin,male,0.4832691227435037,0.5167308772564961,Michael Franklin,Michael Franklin,"GreaterEuropean,British",0.41060096,0.5514600000000001,0.032240245,0.0056987726,0.0032081245,0.0015626878,0.00043936307,0.00047152105,0.0001581618,0.6070011,0.027932497,0.11720543,0.009140518,0.21007298,0.0070335106,0.010661021,0.005113139,white
Nowlan Freese,male,0.4429060588236418,0.5570939411763579,Nowlan Freese,Nowlan Freese,"GreaterEuropean,British",0.07985356,0.90056014,0.015731553,0.0038547455,0.009571528,0.0030654634,0.03047794,0.009904689,0.0068507027,0.8174624,0.013044698,0.016532902,0.010071763,0.02920444,0.019843953,0.022011332,0.011958136,white
