username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink,,,,,
GabiRdz,6/11/2011 18:56,0,0,@ MauricioRamMed weeeei qe pedo con el beetlejuice?XD se qeria restregar con todas # ASCO,,@,#,7.96835E+16,https://twitter.com/GabiRdz/status/79683499908534272,,,,,
NicoleRivaas,6/11/2011 18:56,0,0,deicida ODIO las uñas poztisas NO ME ACOSTUMBRO # ASCO !,,,#,7.96834E+16,https://twitter.com/NicoleRivaas/status/79683399991820289,,,,,
EddieRohe,6/11/2011 18:56,0,0,“ @ andrew_pako: @ EddieRohe @edith_mjj primero deja y veo sino me rasuré de más .... aguanta!” // # asco hahahaha no queremos saber!,,@ @ @edith_mjj,#,7.96834E+16,https://twitter.com/EddieRohe/status/79683350008299520,,,,,
JamesHowlettJr,6/11/2011 18:54,0,0,Candidatos del Edomex. Cartón de Helguera // @ eruviel_avila # PRI # Fraude # Asco http://lajor.mx/mvnOcf,,@,# # #,7.96828E+16,https://twitter.com/JamesHowlettJr/status/79682847379685377,,,,,
EstefhaniaConH,6/11/2011 18:51,0,0,Wtf apoco porque hay mujeres demasiado patonas # asco,,,#,7.96822E+16,https://twitter.com/EstefhaniaConH/status/79682239922831360,,,,,
dral3chuga,6/11/2011 18:44,0,0,Por q si hay mas lugar la tipa se sienta a mi lado??? # asco # fail,,,# #,7.96804E+16,https://twitter.com/dral3chuga/status/79680419418750976,,,,,
GeralPerez16,6/11/2011 18:42,0,0,ese chamo me da # ASCO,,,#,7.96799E+16,https://twitter.com/GeralPerez16/status/79679869579034624,,,,,
Terezon,6/11/2011 18:39,0,0,@Alezzdro fijate q he despertado sin apetito si ni me he levantado a lavarme la cara ni Los dientes que # Asco jajaja,,@Alezzdro,#,7.96791E+16,https://twitter.com/Terezon/status/79679116105891840,,,,,
lnhumana,6/11/2011 18:34,0,0,Me da tanto # ASCO ver a los hombres sudaar como # CERDOS!!,,,# #,7.96778E+16,https://twitter.com/lnhumana/status/79677834003615745,,,,,
its_cesarv,6/11/2011 18:33,0,0,RT @ ArztR: 'Huele a Pollo Campero aquí # asco :S // +100000000000,,@,#,7.96777E+16,https://twitter.com/its_cesarv/status/79677733248053248,,,,,
ArztR,6/11/2011 18:32,0,0,'Huele a Pollo Campero aquí # asco :S,,,#,7.96775E+16,https://twitter.com/ArztR/status/79677525038600192,,,,,
OntiRoberto,6/11/2011 18:28,0,0,"Patético como los reguetoneros quieren parecer 'gangsta rapers' de los '80, pero con aire de Miami Latino Proud attitude. # asco",,,#,7.96764E+16,https://twitter.com/OntiRoberto/status/79676415590666240,,,,,
karolha_,6/11/2011 18:28,0,0,"No es por ser racista pero, cuando fui a comprar la tarjeta del cel.. Vi algunas cosas que me hicieron pensar que estaba en Perú # asco.",,,#,7.96763E+16,https://twitter.com/karolha_/status/79676287530176512,,,,,
emmanuelosky,6/11/2011 18:25,0,0,@ gusgerrtner son negrajes!!!!! # asco,,@,#,7.96757E+16,https://twitter.com/emmanuelosky/status/79675718950326272,,,,,
ZoilyPorras,6/11/2011 18:25,0,0,"Para mi es muy desagradable una cara con acné, y más si es en una mujer. # Asco!",,,#,7.96755E+16,https://twitter.com/ZoilyPorras/status/79675538117107712,,,,,
adri_poppins,6/11/2011 18:23,0,0, @ raz_of_nothing: Un perfume con aroma a semén y sangre?,"no se quien sea Lady gaga pero que # asco""// ella da miedo jajajaja !""",,@,#,7.96751E+16,https://twitter.com/adri_poppins/status/79675145702215681,,,,
raz_of_nothing,6/11/2011 18:20,0,0,"Un perfume con aroma a semén y sangre?,no se quien sea Lady gaga pero que # asco",,,#,7.96745E+16,https://twitter.com/raz_of_nothing/status/79674470817730560,,,,,
MONIQUE2792,6/11/2011 18:16,0,0,Agh lo que me faltaba yo quiero leer para despejarm y mi vecino tiene fiesta!!!!!! # asco!,,,#,7.96734E+16,https://twitter.com/MONIQUE2792/status/79673423235788802,,,,,
PaTtY_kEnNa,6/11/2011 18:11,0,0,**Jajajajajaja imagino la cara de @ roledgar en este momento !! Ahhh cuando toque al pulpo # Asco !!**,,@,#,7.96723E+16,https://twitter.com/PaTtY_kEnNa/status/79672250097348608,,,,,
titisalinas21,6/11/2011 18:09,0,0,Sábado y yo sin hacer nada! # asco,,,#,7.96717E+16,https://twitter.com/titisalinas21/status/79671672537481217,,,,,
SahilyA_,6/11/2011 18:09,0,0,sinceramente :| me das # asco,,,#,7.96715E+16,https://twitter.com/SahilyA_/status/79671528089862144,,,,,
Carlos_DC,6/11/2011 18:06,0,0,# Asco!!! RT @ MaduroOfficial: Cuando sangra un poquito pasa de parecer leche condensada a salsa rosada # ParteMedico,,@,# #,7.9671E+16,https://twitter.com/Carlos_DC/status/79670985468542976,,,,,
EmeeVee2,6/11/2011 18:06,0,0,Findee aburrido!!!! # asco,,,#,7.96709E+16,https://twitter.com/EmeeVee2/status/79670878488633344,,,,,
MarianaMacosay,6/11/2011 18:06,0,0,@Vanessazm_ q tienes el diente? # ASCO,,@Vanessazm_,#,7.96708E+16,https://twitter.com/MarianaMacosay/status/79670772620197889,,,,,
xiomar4,6/11/2011 18:05,0,0,De pana cuando escucho a # chavezcandanga hablar siento como algo llamado # asco,,,# #,7.96706E+16,https://twitter.com/xiomar4/status/79670622266998784,,,,,
LoveMissBrooke,6/11/2011 18:00,0,0,"Me acabo de dar cuenta que la tele esta en telecinco, ademas en HD. # asco",,,#,7.96693E+16,https://twitter.com/LoveMissBrooke/status/79669315699347456,,,,,
LaPatronaFY,6/11/2011 17:58,0,0,"# mentirasmasusadas la WWE # ASCO todos son una bola de maricones,",,,# #,7.96689E+16,https://twitter.com/LaPatronaFY/status/79668871497400322,,,,,
CionTGOD,6/11/2011 17:57,0,0,Mis vecinos son de lo peor ! Nos han tirado la maceta de la puerta unas tres veces ! # asco,,,#,7.96685E+16,https://twitter.com/CionTGOD/status/79668502058901504,,,,,
Diego_VillegasM,6/11/2011 17:54,0,0," @ Diego_VillegasM: Mi casa apesta a camarones # Asco // que te pasa son buenisimos!! // me dan Asco jajajajja""",,@,#,7.96678E+16,https://twitter.com/Diego_VillegasM/status/79667827124080642,,,,,
OnlyOtherUser,6/11/2011 17:49,0,0,No mamen porque ponen la rola All I want de A day to remember de fondo en Jersey Shore. # ASCO.,,,#,7.96666E+16,https://twitter.com/OnlyOtherUser/status/79666561484460032,,,,,
valeriavannini,6/11/2011 17:48,0,0,Odio las playas nudistas # asco,,,#,7.96665E+16,https://twitter.com/valeriavannini/status/79666460296871936,,,,,
Veniuska26,6/11/2011 17:47,0,0,@ perolita17 @ OrianTV Cuando cobren la Luz como se debe cobrar. Yo creo que ni ventilador querran prender. Q ignorancia # Asco,,@ @,#,7.96661E+16,https://twitter.com/Veniuska26/status/79666053495533568,,,,,
LinitaAragon,6/11/2011 17:47,0,0,@ jasm87 :( puia que cosa estar en clases # ASCO no es paja e calor esta insoportable... !! saludos a la @ G3Be87,,@ @,#,7.9666E+16,https://twitter.com/LinitaAragon/status/79666010956894208,,,,,
marianaestradam,6/11/2011 17:42,0,0,GiuuuuuuUuuuu con el medicamento que me estan dando que va debajo de la lengua # asco,,,#,7.96649E+16,https://twitter.com/marianaestradam/status/79664917145333760,,,,,
Diego_VillegasM,6/11/2011 17:42,0,0,Mi casa apesta a camarones # Asco,,,#,7.96648E+16,https://twitter.com/Diego_VillegasM/status/79664811495002112,,,,,
salvatierra94,6/11/2011 17:41,0,0,Comi mucho # asco,,,#,7.96647E+16,https://twitter.com/salvatierra94/status/79664695551868928,,,,,
mmsandra_,6/11/2011 17:41,0,0,Estoy harta de estudiar =$ menos mal que solo queda un semanaa... # ASCO!,,,#,7.96647E+16,https://twitter.com/mmsandra_/status/79664668922232833,,,,,
AvinasM,6/11/2011 17:35,0,0,Ahi es q me arrgas el quien ha dicho q la chinola es buena? # Susantisimo # asco # Fooo RT @ lolitacb: @ AvinasM o de chinola,,@ @,# # #,7.96631E+16,https://twitter.com/AvinasM/status/79663110792814592,,,,,
Piscucha_,6/11/2011 17:34,0,0,por laaa! CityVille ahora no solo en facebook tambien en twitter vv' # asco,,,#,7.96629E+16,https://twitter.com/Piscucha_/status/79662917951307778,,,,,
feerguerrerom,6/11/2011 17:30,0,0,@jorge_lodela hay yasee y sacan cadaa posee # asco,,@jorge_lodela,#,7.96618E+16,https://twitter.com/feerguerrerom/status/79661798017605632,,,,,
JESSICA7458,6/11/2011 17:27,0,0,# Asco RT @ llanoalegre: El absceso pelvico puede ser de tanta masturbacion pensando en Fidel,,@,#,7.96612E+16,https://twitter.com/JESSICA7458/status/79661156557524993,,,,,
LizzJimenezz,6/11/2011 17:24,0,0,# ASCO de sabado :O,,,#,7.96603E+16,https://twitter.com/LizzJimenezz/status/79660301921955840,,,,,
MichRz,6/11/2011 17:23,0,0,estornudos! # asco,,,#,7.96602E+16,https://twitter.com/MichRz/status/79660165493821440,,,,,
NicolletteMarie,6/11/2011 17:23,0,0,"Wakala; No hay algo que deteste mas que el Ketchup"" # ASCO!""",,,#,7.966E+16,https://twitter.com/NicolletteMarie/status/79660009818042368,,,,,
_GaabyHernandez,6/11/2011 17:17,0,0,# ASCO...!!! :SSS',,,#,7.96584E+16,https://twitter.com/_GaabyHernandez/status/79658430234763265,,,,,
BrendaSerranoC,6/11/2011 17:15,0,0,# asco m siento mal :(,,,#,7.96581E+16,https://twitter.com/BrendaSerranoC/status/79658132145569792,,,,,
chevedor,6/11/2011 17:11,0,0,No hay escena más repugnante que ver a tu vecina bailando con la escoba escuchando la KE Buena # asco,,,#,7.96569E+16,https://twitter.com/chevedor/status/79656909791182848,,,,,
ingridchurba,6/11/2011 17:02,0,0,# Asco http://yfrog.com/h2hlhdpj,,,#,7.96547E+16,https://twitter.com/ingridchurba/status/79654721744412673,,,,,
XimeRodriguez_,6/11/2011 17:00,0,0,Y que nos dimos cuenta que el novio de la gorda de la mesa de enfrente era niña... :O # jisuscriste # asco nos dimos cuenta por el brasiere :S,,,# #,7.96542E+16,https://twitter.com/XimeRodriguez_/status/79654166078828544,,,,,
MonicaNotario,6/11/2011 16:59,0,0,Que no es la primera vez pero ahora si tengo hambre &hay puro caldo # ASCO,,,#,7.96541E+16,https://twitter.com/MonicaNotario/status/79654109787066368,,,,,
karimefdzg,6/11/2011 16:57,0,0,Alla en mi triste soledad me han dado ganas de llorar salir corriendo y preguntar que es lo que ha sido de tu vidaaa XD # asco hahahahaha,,,#,7.96536E+16,https://twitter.com/karimefdzg/status/79653598623055872,,,,,
AndresCastg,6/11/2011 16:48,0,0,El @ GillHerSom anda de pedorro # asco,,@,#,7.96512E+16,https://twitter.com/AndresCastg/status/79651166115463168,,,,,
Acuari0k,6/11/2011 16:47,0,0,Zona rosa en machala.. # Asco !!!,,,#,7.9651E+16,https://twitter.com/Acuari0k/status/79651025635647489,,,,,
Yuckzoid,6/11/2011 16:46,0,0,Después de un día del super # Asco en el # SMN a disfrutar de unas buenas granachas de una buena peli y en la noche ámonos con baloo !!!,,,# #,7.96507E+16,https://twitter.com/Yuckzoid/status/79650731182923776,,,,,
JuPadillam,6/11/2011 16:40,0,0,@ titiortiz te perdiste la honorable mención del aguacate mexicano en la UE!!! # meibaamorir!!! # asco!!!!!,,@,# #,7.96493E+16,https://twitter.com/JuPadillam/status/79649299650191360,,,,,
montse_co,6/11/2011 16:40,0,0,Me obligan a comer pescado # asco,,,#,7.96492E+16,https://twitter.com/montse_co/status/79649212177973249,,,,,
AlexRobinsV,6/11/2011 16:39,0,0,"“ @ memolozano: Afortunadamente en el pene no hay sentido del olfato, por si te huele mal la boca, digo yo. / jajaja # Asco",,@,#,7.9649E+16,https://twitter.com/AlexRobinsV/status/79648965628399616,,,,,
annzita,6/11/2011 16:38,0,0,"@AndrezSaturdei jajajaja NO esas asquerosas NO! JAJAJAJAJ que miedo, me dan # asco",,@AndrezSaturdei,#,7.96488E+16,https://twitter.com/annzita/status/79648782756749312,,,,,
Lusanita,6/11/2011 16:33,0,0,# palabrasquetemolestan ROCHO (? # asco,,,# #,7.96476E+16,https://twitter.com/Lusanita/status/79647555826356224,,,,,
KevGedler,6/11/2011 16:33,1,0,las chamas como tu me dan # ASCO y no soy persona de hablar feo de una mujer pero tu sobrepasas la vaina wn,,,#,7.96475E+16,https://twitter.com/KevGedler/status/79647529247055872,,,,,
A_todocolor,6/11/2011 16:28,0,0,"muy de acuerdo! :D RT @ LuisOAlgo Lady gaga es un asco, esa caraja ya raya en lo ridículo y repetido # asco",,@,#,7.96462E+16,https://twitter.com/A_todocolor/status/79646227490275329,,,,,
Lachicoela,6/11/2011 16:24,0,0,"@ reverendaperra Es lo que pasa cuando vives en un pais tercermundista lleno de muertos de hambre, # asco",,@,#,7.96451E+16,https://twitter.com/Lachicoela/status/79645091127508992,,,,,
elsybc,6/11/2011 16:23,0,0,Jajaja acabo de ver a un señor en la calle picandose la nariz a fondoo! Y toda la familia lo vimos y se dio cuenta y le valio! Jajaj # asco,,,#,7.96449E+16,https://twitter.com/elsybc/status/79644926400397312,,,,,
Geemartinezzz,6/11/2011 16:08,0,1,"Afición y jugadores del # granada me dais asco, mucho # asco !",,,# #,7.96412E+16,https://twitter.com/Geemartinezzz/status/79641171042897920,,,,,
RebecaHoyos_,6/11/2011 16:08,0,0,Aja bueno y en el tolon ahí mas viejos sadicos que bueno pues! # Asco,,,#,7.96411E+16,https://twitter.com/RebecaHoyos_/status/79641097864876032,,,,,
Silvitta321,6/11/2011 16:00,0,0,Tengo q limpiar y acomodar # asco,,,#,7.96392E+16,https://twitter.com/Silvitta321/status/79639222654476288,,,,,
neuxi,6/11/2011 15:56,0,0,"les contesto, les escribo, participo y nada...están donde están porque gente como yo, les ve en la TV, les oye en la radio,les lee... # asco",,,#,7.96382E+16,https://twitter.com/neuxi/status/79638180172791808,,,,,
flavioakd,6/11/2011 15:55,0,0,@ MelinaRVM # massoloquemarianoenlafiestadefindeaño jaja es buena esa eh. Hoy lo tengo q ver. Seguro se hace el simpatico # asco,,@,# #,7.9638E+16,https://twitter.com/flavioakd/status/79637956444422145,,,,,
SaulVilchis,6/11/2011 15:54,0,0,@ SritaT @ luismontelongo @ djchololo un tal súperman # asco,,@ @ @,#,7.96376E+16,https://twitter.com/SaulVilchis/status/79637600897466368,,,,,
RaulHD,6/11/2011 15:53,0,0,@ valeriazavala me das # asco :S no veas eso! D:... o escuches!,,@,#,7.96375E+16,https://twitter.com/RaulHD/status/79637480705503232,,,,,
AshantiOcampo,6/11/2011 15:49,0,0,RT @ JenniferIH: huele a comida # asco// ni tu te lo crees jaja la deseas!,,@,#,7.96365E+16,https://twitter.com/AshantiOcampo/status/79636475012067328,,,,,
NasserSaF,6/11/2011 15:48,0,0,Una vieja ccon toodo el pecho tatuado # asco # yaNohayTemorDeDios,,,# #,7.9636E+16,https://twitter.com/NasserSaF/status/79636046085754880,,,,,
Mluiza_p,6/11/2011 15:47,0,0,@MissDane1995 entonces a lo mejor CR es el amor de mi vida? Jajaja! # ASCO! Bueno chao.,,@MissDane1995,#,7.96358E+16,https://twitter.com/Mluiza_p/status/79635763280621568,,,,,
MiguelDiP92,6/11/2011 15:45,0,0,weee!! Porq escuchan ese tipo de musica en mi casa? # Asco,,,#,7.96354E+16,https://twitter.com/MiguelDiP92/status/79635442592518144,,,,,
Nilyanahoj,6/11/2011 15:44,0,0,# ASCO,,,#,7.96351E+16,https://twitter.com/Nilyanahoj/status/79635063788154880,,,,,
dr_tequiila,6/11/2011 15:38,0,0,No buenoooo y su musiquita! # asco!,,,#,7.96337E+16,https://twitter.com/dr_tequiila/status/79633734957142016,,,,,
marielcanavati,6/11/2011 15:38,0,0,"No se porque hay chavas que les gusta el manicure con uñas larguisimas con brillitos, multicolores, flores y no se que tanta cosa # asco",,,#,7.96337E+16,https://twitter.com/marielcanavati/status/79633716351205378,,,,,
purapaja3,6/11/2011 15:38,0,0,por un momento senti que viviamos lo mismo pero NO # asco,,,#,7.96336E+16,https://twitter.com/purapaja3/status/79633587850330112,,,,,
kewika,6/11/2011 15:34,0,0,Es inhumano tener q currar un sábado de noche # asco,,,#,7.96325E+16,https://twitter.com/kewika/status/79632496135897090,,,,,
Srgio_Eduardo,6/11/2011 15:32,0,0,La socia de mi tio me tira el pedo # asco,,,#,7.9632E+16,https://twitter.com/Srgio_Eduardo/status/79632008673890304,,,,,
itzelalvareez,6/11/2011 15:31,0,0,@ DanyaViveros abuelaaaaaaaaaa y si no minimo lo enflemamos # asco.com jajajjajajjaxd,,@,#,7.9632E+16,https://twitter.com/itzelalvareez/status/79631986318249984,,,,,
raqelrn,6/11/2011 15:31,0,0,"Ya en casa, tempraniyo porq tng q estudiiiar # asco :S",,,#,7.96319E+16,https://twitter.com/raqelrn/status/79631890285477888,,,,,
lemixillo,6/11/2011 15:31,0,0,"ya encontre la meca de los xicos con # dañoaxonaldfuso , @YoveoCOMBATE # asco",,@YoveoCOMBATE,# #,7.96318E+16,https://twitter.com/lemixillo/status/79631770898792448,,,,,
Milibrero,6/11/2011 15:28,0,0,como pueden hacer siesta con este calor! # asco,,,#,7.96312E+16,https://twitter.com/Milibrero/status/79631201853382656,,,,,
milyolivee,6/11/2011 15:26,0,0,ahora mi cuarto huele a cigarro ¬¬ # asco,,,#,7.96306E+16,https://twitter.com/milyolivee/status/79630640810700800,,,,,
anacriszorrilla,6/11/2011 15:23,0,0,Que horror no falta la que por accidente esta bailando y te tira whisky en el pelo # asco (que suerte la mía para variar),,,#,7.96298E+16,https://twitter.com/anacriszorrilla/status/79629817540132864,,,,,
lemixillo,6/11/2011 15:23,0,0,la television nacional es un # asco todo # cosasdecasa # combate # vct # labailarina # megamatch # elclubdelamañana mejor auspiciantes de tv cable,,,# # # # # # #,7.96298E+16,https://twitter.com/lemixillo/status/79629788242903040,,,,,
AlexRobinsV,6/11/2011 15:21,0,0,@ fersanta79 esta padre verdad? Hoy toca papaya maradol jajaja # Asco,,@,#,7.96293E+16,https://twitter.com/AlexRobinsV/status/79629273002033152,,,,,
Briamantina,6/11/2011 15:19,0,0,Al salón de belleza... # asco,,,#,7.96288E+16,https://twitter.com/Briamantina/status/79628849851281408,,,,,
ThatHomieNigga,6/11/2011 15:18,0,0,no me guta mi segundo nombre :S stephania # Asco,,,#,7.96287E+16,https://twitter.com/ThatHomieNigga/status/79628692023816192,,,,,
